id	CK_1	CK_2	CK_3	Cra20_1	Cra20_2	Cra20_3	KT2440_1	KT2440_2	KT2440_3
LOC101248277	6.475456159	3.650134094	3.664828636	4.720430434	3.23833852	5.89123891	4.018975843	4.791172184	6.722645387
LOC101248279	0.195858067	1.920705481	0.74092609	0.725297883	0.188474729	0.267281555	0.27899947	0.681636489	0.094246332
LOC101248280	59.67061578	69.14860841	64.14298094	61.81744167	68.33930279	55.89279346	63.17187204	68.36993368	53.46340564
LOC101248281	80.70865791	101.0387118	85.93058723	81.46990886	94.34359556	72.96786462	87.61851551	87.78935774	81.29003174
LOC101248282	0.029026869	0.113862181	0.164711863	0.080618814	0.083797896	0.184856405	0.082697448	0.075765733	0.02793529
LOC101248283	18.68982193	28.83667748	17.67578039	17.45675263	17.82539541	28.49051262	17.67019412	22.47679638	26.8605507
LOC101248286	0	0	0	0	0	0	0	0	0
LOC101248287	27.34257701	19.03843061	34.12922208	18.22503769	11.49507022	20.65046629	17.44331523	19.23934225	17.87844784
LOC101248288	0	0	0	0	0	0	0	0	0
LOC101248289	6.442862664	13.23828018	11.98348301	5.112661498	9.742831308	5.498725922	5.768932088	7.634436536	5.285250791
LOC101248290	6.295273353	7.790827104	6.658097951	6.468408167	7.218355565	6.469442842	7.847707602	5.940162777	5.836672634
LOC101248292	20.21756835	12.11625522	13.08254101	21.0159484	21.24736526	23.52974058	23.7472781	19.23648831	30.86423706
LOC101248293	0	0	0	0	0	0	0	0	0
LOC101248294	9.552085949	13.04565243	8.560849509	10.00077279	13.42705356	9.281780409	8.881311808	9.485772938	6.786360975
LOC101248295	2.303056057	1.498643701	2.727714819	5.260652482	4.22534877	5.110901445	3.863253371	3.951432461	3.459315653
LOC101248296	15.68734534	20.90214979	20.23852181	19.57484223	25.59752006	11.55724102	14.16903718	13.50064131	16.41022817
LOC101248299	21.62012931	27.73018538	23.2885226	19.36134533	25.90717667	23.5820289	24.16832913	26.39677245	20.92047681
LOC101248300	13.77939693	19.40902101	17.88818846	15.33694771	15.8672431	12.34840786	14.36009213	15.60361172	12.34236347
LOC101248301	1.058883717	0.755205049	1.820786456	2.005178588	0.602116607	4.597811437	2.971047552	1.130682656	3.705685566
LOC101248302	671.1603225	802.9050548	589.0288687	528.4299035	667.2025139	655.4486601	571.7587583	668.1520347	565.7394073
LOC101248303	9.058400378	10.63754631	10.56638639	6.986010806	10.8765907	6.865158455	7.969235772	7.03240838	7.168277093
LOC101248304	13.28287817	14.5232557	18.04913458	12.65059427	16.2347976	13.75132034	17.39902209	17.20259963	16.89755103
LOC101248305	0	0	0	0	0	0	0	0	0
LOC101248306	0.038669413	0	0	0	0	0	0	0.100934634	0
LOC101248307	19.34618261	19.15010161	17.59900769	20.28467849	20.88803245	20.11958445	20.1719276	20.28776018	19.26293548
LOC101248308	6.903490317	6.655244492	8.963449186	7.402258886	6.080259739	7.167753987	6.148571088	6.07435069	9.421545824
LOC101248309	0.279406853	0.182669108	0.088082419	0.086224514	0.059749765	0.0564886	0.088447682	0.108045308	0.029877726
LOC101248310	33.02147285	24.64078218	23.47623074	31.20362921	31.92274906	33.01196284	30.49426762	25.09817577	28.05378066
LOC101248311	28.27179601	32.54015855	30.81953775	32.1093467	33.52600634	32.60662536	30.73944165	30.12201121	28.9241993
LOC101248312	0	0	0	0	0	0	0	0	0
LOC101248313	0	0	0	0	0	0	0	0	0
LOC101248314	5.140373849	5.157523096	5.985516596	5.83175699	6.147502672	4.892867387	4.430154901	5.765073416	5.31881073
LOC101248316	97.83336705	115.0784895	110.8985168	92.2673875	86.05534734	87.54054223	82.44326906	86.90258199	103.5445372
LOC101248317	0	0	0	0	0	0	0	0	0
LOC101248318	0.05190426	0.305403189	0.171808435	0.048052718	0.049947605	0.047221445	0.024645842	0.022580023	0.074928537
LOC101248320	0	0	0.038135902	0	0	0	0	0.035084231	0
LOC101248321	4.127674671	5.095662836	4.276011679	3.717256825	6.093396725	3.959921976	5.692948591	4.931980029	5.704308447
LOC101248322	1.546566708	0.072221861	0.417901612	1.022717239	0.354348852	0.737018375	1.014116903	0.865036649	0.673326888
LOC101248324	13.50208692	17.897916	10.38989243	11.74556481	13.74335085	8.414972457	7.572322441	10.11349221	6.241371062
LOC101248325	7.237180684	15.04442242	9.139685269	7.221715986	12.59422799	7.727611559	12.34652829	9.313250283	10.6769178
LOC101248326	13.19233277	2.248106807	9.572184245	21.82394286	5.577482555	11.92341485	12.07646274	5.833172683	16.44265118
LOC101248327	9.879800495	8.419980034	9.788699455	11.43334065	8.658486573	10.70052674	9.605898578	8.289060023	10.18742414
LOC101248328	0	0.057471887	0	0	0	0	0	0	0
LOC101248329	1.255152922	2.164652226	2.374105809	0.761319931	2.790519811	1.614428323	1.603001422	1.920526024	0.958030795
LOC101248330	1.515322936	1.733689421	1.501350235	0.768243152	1.735951449	1.181665824	1.027892786	2.354336559	0.520834993
LOC101248331	18.66890659	20.09693005	21.50926365	25.16535063	29.02510822	18.0910814	27.95094695	23.7562685	23.76071639
LOC101248332	22.62160669	20.16244021	19.39182422	20.68505793	21.12541744	25.95396069	20.79508122	21.42747809	19.78685492
LOC101248333	5.54687584	6.953240514	5.474006189	4.733380584	6.173250629	4.38820464	6.870882481	6.252997423	6.034578574
LOC101248334	19.04977405	21.75957131	23.33917184	18.9889666	15.31109178	18.80818103	19.63275221	19.68225363	13.59379331
