id	cl
652	LOC101259371	6
653	LOC101249293	4
654	LOC101260840	6
655	LOC101259411	3
656	LOC101259687	2
657	LOC101250169	3
658	LOC101257686	3
659	LOC101248702	6
660	LOC101265447	6
661	EXP1	2
662	LOC101247438	6
663	LOC101268645	4
664	LOC101253143	6
665	LOC101264148	4
666	LOC101244745	2
667	LOC101261455	4
668	LOC101257542	6
669	exp9	2
670	LOC101251149	6
671	LOC112941852	3
672	LOC101254873	3
673	LOC101248744	6
674	LOC101259291	6
675	LOC101260442	3
676	LOC101251011	4
677	LOC101258293	6
678	LOC101259110	6
679	LOC101248610	4
680	SlPL	4
681	LOC101256065	6
682	LOC101257381	3
683	LOC101250480	2
684	LOC101245350	4
685	LOC101253684	4
686	TMP1	2
687	PSBP	2
688	LOC101254166	4
689	LOC101256297	3
690	LOC101268154	4
691	LOC101256083	6
692	LOC101253999	3
693	LOC101264947	2
694	LOC101257321	4
695	LOC101263619	2
696	LOC101250119	4
697	LOC101251114	3
698	LOC101252337	4
699	LOC101245748	6
700	LOC101248557	4
701	LOC101245426	6
702	LOC101257246	2
703	LOC101243821	2
704	LOC101264477	6
705	LOC101248079	6
706	LOC101264541	6
707	LOC101266542	3
708	LOC101252453	6
709	LOC104646565	6
710	XTH6	1
711	LE-ACS1B	6
712	LOC101245145	6
713	LOC101244007	2
714	LOC101246963	3
715	LOC101245171	6
716	LOC101264524	4
717	LOC104645228	6
718	LOC101266619	6
719	LOC101267539	2
720	LOC101265249	2
721	LOC101247959	6
722	LOC101251641	3
723	LOC101252007	6
724	LOC101255973	6
725	LOC101264988	4
726	LOC101244416	2
727	LOC100134906	4
728	LOC101261619	2
729	LOC101267282	6
730	LOC101255575	3
731	LOC101267825	5
732	LOC101267882	6
733	LOC101248254	2
734	LOC101245339	6
735	LOC101249503	1
736	LOC101261528	2
737	LOC101262446	6
738	ODD	3
739	LOC101249198	2
740	LOC101268347	2
741	LOC101262356	6
742	LOC101249201	6
743	LOC101265881	6
744	LOC101255179	6
745	LOC101259094	6
746	LOC101246185	2
747	LOC101261042	6
748	cat1	2
749	LOC101267821	2
750	LOC101263667	6
751	LOC101258824	2
752	LOC101243805	6
753	LOC101262587	6
754	LOC101266924	6
755	LOC101244217	3
756	LOC101245995	4
757	LOC101265339	2
758	LOC101260634	6
759	LOC101263218	6
760	LOC101260191	2
761	LOC101267933	3
762	LOC101263487	6
763	LOC101259005	6
764	LOC101243688	6
765	LOC101248870	3
766	LOC101245287	4
767	LOC101246970	3
768	LOC101245081	3
769	LOC101263181	6
770	LOC101244275	6
771	OEE1	2
772	LOC101247859	3
773	LOC101260157	6
774	LOC104648393	6
775	LOC101254925	4
776	LOC101259314	4
777	CAB9	2
778	LOC101263577	6
779	LOC101250821	6
780	LOC101249112	3
781	LOC101262781	6
782	LOC101266889	3
783	LOC101251185	3
784	LOC101264284	6
785	LOC101246922	2
786	LOC104645436	3
787	LOC101268131	3
788	LOC101248816	6
789	LOC101247750	3
790	LOC101264704	6
791	ACS1A	3
792	LOC101247455	2
793	LOC101247596	6
794	LOC101264698	6
795	LOC101259340	6
796	LOC101250126	2
797	LOC101250247	6
798	LOC101258653	6
799	LOC101244591	6
800	LOC101254727	4
801	LOC101247990	2
802	LOC101267354	6
803	LOC101267886	4
804	LOC101263715	3
805	LOC101264860	2
806	CAB11	2
807	LOC101265918	6
808	LOC101244175	4
809	LOC101266508	6
810	LOC101251618	4
811	DEFL1	4
812	LOC101250042	4
813	LOC101263809	6
814	LOC101266604	3
815	LOC101263635	6
816	LOC104645741	6
817	LOC101255059	6
818	LOC101249063	6
819	LOC101265796	6
820	LOC101255664	4
821	LOC101265355	2
822	LOC101268325	6
823	LOC101263047	3
824	LOC101256194	3
825	LOC101248685	2
826	LOC101257518	2
827	LOC101260140	4
828	LOC101261469	6
829	LE16	4
830	LOC101265257	3
831	LOC101244373	3
832	LOC101262397	6
833	LOC101266903	2
834	LOC101262753	2
835	LOC101268591	6
836	LOC104647214	6
837	LOC101247111	4
838	LOC101254147	6
839	LOC101251651	6
840	LOC101262917	6
841	gtsatom	6
842	LOC101258095	2
843	LOC101247484	6
844	LOC101258702	6
845	LOC112941473	3
846	LOC101254120	6
847	LOC101253040	6
848	LOC101261168	2
849	POR2	2
850	LOC101264436	4
851	LOC104648424	6
852	LOC101262299	2
853	LOC101254183	5
854	LOC101266706	1
855	cbl	1
856	LOC101257057	4
857	LOC101254785	1
858	LOC101246560	6
859	LOC104646739	5
860	LOC101252918	1
861	LOC101254582	5
862	LOC101267799	5
863	LOC101252333	1
864	LOC101254674	4
865	LOC101265615	1
866	LOC101258542	5
867	LOC101261081	5
868	LOC101250465	4
869	LOC101264123	5
870	LOC101251152	1
871	LOC101259187	4
872	LOC101257456	5
873	LOC101265846	1
874	LOC101249166	4
875	LOC100736525	5
876	LOC101260441	5
877	LOC101257319	5
878	LOC101265448	4
879	LOC101255164	5
880	LOC101266885	5
881	LOC101259210	6
882	PT2	1
883	LOC101268561	6
884	LOC101257373	1
885	LOC101253456	1
886	LOC101254746	4
887	LOC101252459	1
888	LOC101258390	1
889	LOC101261000	6
890	LOC101265518	6
891	LOC101252466	5
892	LOC101261786	1
893	LOC101260091	1
894	LOC101249328	4
895	LOC101249633	5
896	LOC101263790	6
897	LOC101267009	1
898	LOC101250791	5
899	LOC112940019	1
900	LOC112940153	1
901	LOC101246622	5
902	LOC101255440	1
903	LOC101262181	1
904	LOC101245207	1
905	LOC101253894	4
906	LOC101246841	5
907	LOC101258787	5
908	LOC101266288	1
909	LOC101261179	1
910	LOC101244297	6
911	LOC101260034	6
912	LOC101258038	5
913	LOC101264877	1
914	LOC104645327	5
915	LOC101254072	5
916	LOC101258131	5
917	LOC101265537	5
918	LOC543598	1
919	LOC101264183	5
920	LOC104647238	5
921	LOC101258429	4
922	LOC101263214	1
923	LOC101244298	2
924	LOC101253801	1
925	LOC104645840	6
926	SlscADH1	4
927	LOC101247505	1
928	LOC101254202	4
929	LOC101251407	1
930	LOC101248155	6
931	LOC101258069	5
932	LOC101245199	5
933	LOC101246418	4
934	LOC101267981	5
935	LOC101250355	5
936	LOC101265998	1
937	LOC101250988	6
938	LOC101265034	4
939	LOC101249420	5
940	LOC101251982	5
941	LOC101250566	4
942	LOC101256073	1
943	LOC101260472	5
944	LOC101250302	5
945	ext1	1
946	LOC101260986	6
947	LOC101268686	5
948	psi14C	5
949	LOC101268615	1
950	LOC101254539	5
951	LOC101256987	1
952	LOC101254063	4
953	LOC104646174	1
954	LOC101246609	1
955	LOC101257243	6
956	LOC101247800	1
957	ER24	5
958	LOC104646582	5
959	LOC101258461	5
960	LOC544267	5
961	LOC101243946	6
962	LOC101267832	5
963	LOC101257513	4
964	LOC101264714	5
965	LOC101246796	1
966	LOC101252588	5
967	LOC101252840	4
968	LOC101265639	5
969	LOC101246270	1
970	LOC101268056	6
971	LOC101257377	5
972	LOC101245965	5
973	LOC101245073	5
974	LOC101258872	5
975	LOC101250401	6
976	LOC109119053	4
977	LOC101258829	5
978	LOC101249794	5
979	LOC101245593	5
980	HSP21	5
981	LOC101264700	5
982	LOC112940883	5
983	LOC101246573	5
984	LOC101246542	6
985	LOC101246713	4
986	LOC101250069	5
987	LOC101262257	6
988	LOC101246408	5
989	LOC101262623	4
990	SlFBA6	5
991	LOC101266290	4
992	SlCKX3	1
993	LOC101264995	1
994	LOC101248703	1
995	LOC101247796	4
996	LOC101245817	5
997	LOC101254322	1
998	LOC101258029	5
999	LOC104649398	1
1000	LOC104647115	5
1001	LOC101254041	1
1002	LOC101267356	6
1003	LOC101253260	1
1004	LOC101247181	1
1005	LOC101267809	6
1006	LOC101256534	6
1007	LOC101249419	6
1008	LOC101263775	1
1009	LOC101268577	5
1010	LOC101257659	4
1011	LOC101245136	4
1012	LOC101260843	1
1013	LOC101254009	4
1014	LOC101245158	6
1015	LOC101250477	6
1016	EREB	5
1017	LOC101245862	1
1018	LOC101243804	6
1019	PsbQ	2
1020	LOC101260035	5
1021	ELIP	2
